date,ted
14/10/2014,0.21
15/10/2014,0.21
16/10/2014,0.2
17/10/2014,0.21
20/10/2014,0.21
21/10/2014,0.21
22/10/2014,0.21
23/10/2014,0.22
24/10/2014,0.22
27/10/2014,0.21
28/10/2014,0.21
29/10/2014,0.2
30/10/2014,0.22
31/10/2014,0.22
3/11/2014,0.21
4/11/2014,0.2
5/11/2014,0.2
6/11/2014,0.2
7/11/2014,0.2
10/11/2014,0.21
12/11/2014,0.21
13/11/2014,0.21
14/11/2014,0.21
17/11/2014,0.2
18/11/2014,0.21
19/11/2014,0.22
20/11/2014,0.21
21/11/2014,0.22
24/11/2014,0.21
25/11/2014,0.22
26/11/2014,0.22
28/11/2014,0.21
1/12/2014,0.2
2/12/2014,0.2
3/12/2014,0.22
4/12/2014,0.22
5/12/2014,0.22
8/12/2014,0.21
9/12/2014,0.2
10/12/2014,0.21
11/12/2014,0.21
12/12/2014,0.22
15/12/2014,0.2
16/12/2014,0.21
17/12/2014,0.22
18/12/2014,0.21
19/12/2014,0.21
22/12/2014,0.21
23/12/2014,0.22
24/12/2014,0.25
29/12/2014,0.23
30/12/2014,0.23
31/12/2014,0.22
2/1/2015,0.24
5/1/2015,0.22
6/1/2015,0.22
7/1/2015,0.22
8/1/2015,0.22
9/1/2015,0.23
12/1/2015,0.22
13/1/2015,0.22
14/1/2015,0.21
15/1/2015,0.22
16/1/2015,0.23
20/1/2015,0.23
21/1/2015,0.23
22/1/2015,0.23
23/1/2015,0.24
26/1/2015,0.23
27/1/2015,0.23
28/1/2015,0.23
29/1/2015,0.22
30/1/2015,0.23
2/2/2015,0.23
3/2/2015,0.24
4/2/2015,0.25
5/2/2015,0.24
6/2/2015,0.24
9/2/2015,0.25
10/2/2015,0.25
11/2/2015,0.25
12/2/2015,0.24
13/2/2015,0.25
17/2/2015,0.24
18/2/2015,0.24
19/2/2015,0.24
20/2/2015,0.24
23/2/2015,0.24
24/2/2015,0.24
25/2/2015,0.24
26/2/2015,0.23
27/2/2015,0.24
2/3/2015,0.24
3/3/2015,0.25
4/3/2015,0.25
5/3/2015,0.24
6/3/2015,0.25
9/3/2015,0.25
10/3/2015,0.25
