,Symbol,Company Name,Industry,Market Cap
287,AMLX,amylyx-pharmaceuticals,Biotechnology,1065230888
288,AMN,amn-healthcare-services,Medical Care Facilities,2894267169
289,AMNB,american-national-bankshares,Banks - Regional,480324510
290,AMP,ameriprise-financial,Asset Management,40094951940
291,AMPE,ampio-pharmaceuticals,Biotechnology,1489068
292,AMPG,amplitech-group,Communication Equipment,21311642
293,AMPH,amphastar-pharmaceuticals,Drug Manufacturers - Specialty & Generic,2529510720
294,AMPL,amplitude,Software - Application,1565987159
295,AMPS,altus-power,Utilities - Renewable,876034900
296,AMPX,amprius-technologies,Electrical Equipment & Parts,356703933
297,AMPY,amplify-energy,Oil & Gas E&P,231061497
298,AMR,alpha-metallurgical-resources,Coking Coal,5360331108
299,AMRC,ameresco,Engineering & Construction,1102148435
300,AMRK,a-mark-precious-metals,Capital Markets,632688320
301,AMRN,amarin-corporation,Biotechnology,533502556
302,AMRX,amneal-pharmaceuticals,Drug Manufacturers - Specialty & Generic,1692122880
303,AMS,american-shared-hospital-services,Medical Care Facilities,17073000
304,AMSC,american-superconductor,Specialty Industrial Machinery,343324471
305,AMSF,amerisafe,Insurance - Specialty,941059108
306,AMST,amesite,Software - Application,6101602
307,AMSWA,american-software,Software - Application,374122628
308,AMT,american-tower,REIT - Specialty,90207589150
309,AMTB,amerant-bancorp,Banks - Regional,746582106
310,AMTD,amtd-idea-group,Asset Management,3445970701
311,AMTX,aemetis,Oil & Gas Refining & Marketing,139457239
312,AMWD,american-woodmark,"Furnishings, Fixtures & Appliances",1493500216
313,AMWL,american-well,Health Information Services,301947695
314,AMX,américa-móvil,Telecom Services,56692326600
315,AMZN,amazon,Internet Retail,1775484540000
316,AN,autonation,Auto & Truck Dealerships,6237757350
317,ANAB,anaptysbio,Biotechnology,638070552
318,ANDE,-andersons,Food Distribution,1764907767
319,ANEB,anebulo-pharmaceuticals,Biotechnology,65620992
320,ANET,arista-networks,Computer Hardware,84961410000
321,ANF,abercrombie-&-fitch-co,Apparel Retail,5517890085
322,ANGH,anghami,Entertainment,26974297
323,ANGI,angi-inc,Internet Content & Information,1217171894
324,ANGO,angiodynamics,Medical Instruments & Supplies,236341336
325,ANIK,anika-rapeutics,Medical Devices,338204790
326,ANIP,ani-pharmaceuticals,Drug Manufacturers - Specialty & Generic,1132047714
327,ANIX,anixa-biosciences,Biotechnology,145818620
328,ANL,adlai-nortye,Biotechnology,336896049
329,ANNX,annexon,Biotechnology,315702543
330,ANRO,alto-neuroscience,Biotechnology,529200406
331,ANSC,agriculture-&-natural-solutions-acquisition,Shell Companies,349485000
332,ANSS,ansys,Software - Application,29124106200
333,ANTE,airnet-technology,Telecom Services,3383171
334,ANTX,an2-rapeutics,Biotechnology,606724560
335,ANVS,annovis-bio,Biotechnology,103238738
336,ANY,sphere-3d,Software - Application,27992835
337,AOGO,arogo-capital-acquisition,Shell Companies,46979017
338,AOMR,angel-oak-mortgage,REIT - Mortgage,266629404
339,AON,aon,Insurance Brokers,58543158400
340,AONC,american-oncology-network,Medical Care Facilities,50042524
341,AORT,artivion,Medical Devices,692489882
342,AOS,ao-smith,Specialty Industrial Machinery,11649271752
343,AOSL,alpha-and-omega-semiconductor,Semiconductors,701002935
344,AOUT,american-outdoor-brands,Leisure,118370805
345,AP,ampco-pittsburgh,Metal Fabrication,50856192
346,APA,apache-corporation,Oil & Gas E&P,9164383200
347,APAC,stonebridge-acquisition,Shell Companies,75707744
348,APAM,artisan-partners-asset-management,Asset Management,3423932803
349,APCA,ap-acquisition,Shell Companies,174888381
350,APCX,apptech-payments,Software - Infrastructure,43864708
351,APD,air-products-and-chemicals,Specialty Chemicals,57372602760
352,APDN,applied-dna-sciences,Diagnostics & Research,7892092
353,APEI,american-public-education,Education & Training Services,197753632
354,APG,api-group,Engineering & Construction,8330456259
355,APGE,apogee-rapeutics,Biotechnology,1763465431
356,APH,amphenol,Electronic Components,61901152600
357,API,agora,Software - Application,275010816
358,APLD,applied-digital,Capital Markets,572389798
359,APLE,apple-hospitality-reit,REIT - Hotel & Motel,3713537740
360,APLM,apollomics,Biotechnology,72479448
361,APLS,apellis-pharmaceuticals,Biotechnology,7413360000
362,APLT,applied-rapeutics,Biotechnology,233232184
363,APM,aptorum-group,Biotechnology,6382211
364,APO,apollo-global-management,Asset Management,58531947150
365,APOG,apogee-enterprises,Building Products & Equipment,1188620082
366,APP,applovin,Software - Application,15399860367
367,APPF,appfolio,Software - Application,8282785441
368,APPN,appian,Software - Infrastructure,2400430197
369,APPS,digital-turbine,Software - Application,541997800
370,APRE,aprea-rapeutics,Biotechnology,21373752
371,APT,alpha-pro-tech,Building Products & Equipment,59400210
372,APTM,alpha-partners-technology-merger,Shell Companies,242753414
373,APTO,aptose-biosciences,Biotechnology,31413620
374,APTV,aptiv,Auto Parts,23618977000
375,APVO,aptevo-rapeutics,Biotechnology,3573408
376,APWC,asia-pacific-wire-&-cable-corporation,Electrical Equipment & Parts,27213384
377,APXI,apx-acquisition-i,Shell Companies,161000092
378,APYX,apyx-medical,Medical Devices,92845652
379,AQB,aquabounty-technologies,Farm Products,9886199
380,AQMS,aqua-metals,Waste Management,63824112
381,AQN,algonquin-power-&-utilities,Utilities - Renewable,4121057200
382,AQST,aquestive-rapeutics,Drug Manufacturers - Specialty & Generic,175597999
383,AQU,aquaron-acquisition,Shell Companies,49082957
384,AR,antero-resources,Oil & Gas E&P,6578908160
385,ARAY,accuray,Medical Devices,237826890
386,ARBB,arb-iot-group,Information Technology Services,26045250
387,ARBE,arbe-robotics,Software - Infrastructure,142345331
388,ARBK,argo-blockchain,Capital Markets,119578735
389,ARC,arc-document-solutions,Specialty Business Services,126737310
390,ARCB,arcbest,Trucking,3037004865
391,ARCC,ares-capital,Asset Management,11485544290
392,ARCH,arch-resources,Thermal Coal,3215397280
393,ARCO,arcos-dorados-holdings,Restaurants,2706139852
394,ARCT,arcturus-rapeutics-holdings,Biotechnology,927832976
395,ARDX,ardelyx,Biotechnology,2063706820
396,ARE,alexandria-real-estate,REIT - Office,21251613280
397,AREB,american-rebel-holdings,Footwear & Accessories,1226366
398,AREC,american-resources,Coking Coal,105662205
399,AREN,-arena-group-holdings,Internet Content & Information,31462068
400,ARES,ares-management,Asset Management,38751341368
401,ARGX,argenx-se,Biotechnology,22425244380
402,ARHS,arhaus,Home Improvement Retail,1662352389
403,ARI,apollo-commercial-real-estate-finance,REIT - Mortgage,1629214643
404,ARIS,aris-water-solutions,Utilities - Regulated Water,497886240
405,ARIZ,arisz-acquisition,Shell Companies,57125754
406,ARKO,arko-corp,Specialty Retail,926295370
407,ARKR,ark-restaurants,Restaurants,53774067
408,ARL,american-realty-investors,Real Estate - Development,359543520
409,ARLO,arlo-technologies,Security & Protection Services,856388830
